,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-01-02,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,76.95649719238281,159662000,51.36000061035156,53.03950119018555,51.263999938964844,52.73400115966797,52.73400115966797,31868000
2019-01-03,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,75.01399993896484,139512000,52.53350067138672,53.3129997253418,51.118499755859375,51.27349853515625,51.27349853515625,41960000
2019-01-04,76.5,79.69999694824219,75.91549682617188,78.76950073242188,78.76950073242188,183652000,52.12799835205078,54.0,51.84299850463867,53.903499603271484,53.903499603271484,46022000
2019-01-07,80.1155014038086,81.72799682617188,79.45950317382812,81.47550201416016,81.47550201416016,159864000,54.048500061035156,54.1349983215332,53.13199996948242,53.79600143432617,53.79600143432617,47446000
2019-01-08,83.2344970703125,83.83049774169922,80.83049774169922,82.8290023803711,82.8290023803711,177628000,54.29999923706055,54.66749954223633,53.41749954223633,54.26850128173828,54.26850128173828,35414000
2019-01-09,82.64900207519531,83.38999938964844,82.06999969482422,82.97100067138672,82.97100067138672,126976000,54.39950180053711,54.582000732421875,53.71849822998047,54.08250045776367,54.08250045776367,26998000
2019-01-10,82.05049896240234,83.1624984741211,81.08100128173828,82.81099700927734,82.81099700927734,130154000,53.74700164794922,53.990501403808594,53.23400115966797,53.94150161743164,53.94150161743164,26598000
2019-01-11,82.02749633789062,83.0145034790039,81.81099700927734,82.02799987792969,82.02799987792969,93724000,53.494998931884766,53.66849899291992,52.82149887084961,53.2234992980957,53.2234992980957,30864000
2019-01-14,80.75,82.41000366210938,79.75749969482422,80.8604965209961,80.8604965209961,120118000,52.66699981689453,52.92250061035156,52.4275016784668,52.57550048828125,52.57550048828125,28490000
2019-01-15,81.5999984741211,83.75800323486328,81.30049896240234,83.72799682617188,83.72799682617188,119970000,52.9005012512207,54.41350173950195,52.72200012207031,54.32550048828125,54.32550048828125,37518000
2019-01-16,84.21099853515625,85.25,83.79399871826172,84.18900299072266,84.18900299072266,127338000,54.5,55.11800003051758,54.4005012512207,54.47549819946289,54.47549819946289,38280000
2019-01-17,84.0,85.00849914550781,83.875,84.66100311279297,84.66100311279297,84178000,54.39950180053711,55.03499984741211,54.16299819946289,54.95600128173828,54.95600128173828,24896000
2019-01-18,85.5999984741211,85.80999755859375,84.5770034790039,84.80999755859375,84.80999755859375,120410000,55.429500579833984,55.900001525878906,54.9640007019043,55.3650016784668,55.3650016784668,44892000
2019-01-22,84.05000305175781,84.09349822998047,80.51000213623047,81.6084976196289,81.6084976196289,128336000,54.79999923706055,54.94850158691406,53.544498443603516,53.93149948120117,53.93149948120117,39632000
2019-01-23,82.80000305175781,82.87149810791016,80.5999984741211,82.0009994506836,82.0009994506836,104504000,54.34299850463867,54.647499084472656,53.378501892089844,54.22050094604492,54.22050094604492,25194000
2019-01-24,82.05349731445312,82.86299896240234,81.58899688720703,82.74649810791016,82.74649810791016,81798000,54.1254997253418,54.400001525878906,53.500999450683594,54.20000076293945,54.20000076293945,29114000
2019-01-25,83.5250015258789,84.17400360107422,83.08049774169922,83.52850341796875,83.52850341796875,98918000,54.71149826049805,55.167999267578125,54.59000015258789,55.07550048828125,55.07550048828125,23260000
2019-01-28,82.17949676513672,82.25,80.70449829101562,81.89450073242188,81.89450073242188,96754000,54.503501892089844,54.66849899291992,53.730499267578125,53.99300003051758,53.99300003051758,29334000
2019-01-29,81.5634994506836,81.61900329589844,79.53600311279297,79.69400024414062,79.69400024414062,92656000,54.051998138427734,54.23649978637695,53.30099868774414,53.50299835205078,53.50299835205078,19704000
2019-01-30,81.1500015258789,83.84750366210938,80.98400115966797,83.52149963378906,83.52149963378906,115676000,53.86800003051758,54.97600173950195,53.832000732421875,54.89950180053711,54.89950180053711,29452000
2019-01-31,84.64250183105469,86.82050323486328,83.9540023803711,85.9365005493164,85.9365005493164,218206000,55.61199951171875,56.38349914550781,55.26250076293945,56.294498443603516,56.294498443603516,40232000
2019-02-01,81.94400024414062,83.65299987792969,81.10050201416016,81.3115005493164,81.3115005493164,230124000,56.114498138427734,56.720001220703125,55.712501525878906,55.930999755859375,55.930999755859375,33116000
2019-02-04,81.1500015258789,82.48149871826172,80.67500305175781,81.66549682617188,81.66549682617188,98582000,55.95050048828125,57.117000579833984,55.8754997253418,57.07099914550781,57.07099914550781,78408000
2019-02-05,82.16699981689453,83.26300048828125,82.125,82.94049835205078,82.94049835205078,89062000,56.48149871826172,57.63850021362305,56.18000030517578,57.59349822998047,57.59349822998047,82296000
2019-02-06,83.5374984741211,83.61299896240234,81.66699981689453,82.01300048828125,82.01300048828125,78798000,57.4635009765625,57.70000076293945,55.917999267578125,56.144500732421875,56.144500732421875,48256000
2019-02-07,81.25,81.2770004272461,79.64550018310547,80.71849822998047,80.71849822998047,92532000,55.590999603271484,55.5994987487793,54.679500579833984,55.295501708984375,55.295501708984375,38298000
2019-02-08,79.30000305175781,79.42949676513672,78.33799743652344,79.41100311279297,79.41100311279297,113150000,54.74399948120117,55.255001068115234,54.71200180053711,55.11899948120117,55.11899948120117,21766000
2019-02-11,80.04900360107422,80.4645004272461,79.30000305175781,79.55000305175781,79.55000305175781,66346000,55.1875,55.67150115966797,55.0,55.10599899291992,55.10599899291992,18498000
2019-02-12,80.19999694824219,81.97000122070312,79.94400024414062,81.90049743652344,81.90049743652344,97172000,55.550498962402344,56.643001556396484,55.550498962402344,56.37900161743164,56.37900161743164,35036000
2019-02-13,82.3499984741211,82.81900024414062,81.85549926757812,82.0,82.0,71206000,56.652000427246094,57.14250183105469,56.29999923706055,56.43149948120117,56.43149948120117,28042000
2019-02-14,81.2249984741211,81.8949966430664,80.3030014038086,81.13249969482422,81.13249969482422,82410000,56.25,56.80649948120117,55.85449981689453,56.459999084472656,56.459999084472656,21106000
2019-02-15,81.39299774169922,81.44550323486328,80.2249984741211,80.39749908447266,80.39749908447266,86878000,56.96500015258789,56.96500015258789,55.83599853515625,55.98149871826172,55.98149871826172,27826000
2019-02-19,80.05000305175781,81.69999694824219,80.02799987792969,81.37899780273438,81.37899780273438,73634000,55.832000732421875,56.481998443603516,55.832000732421875,56.32550048828125,56.32550048828125,21980000
2019-02-20,81.5,81.74649810791016,80.50599670410156,81.1050033569336,81.1050033569336,66752000,56.444000244140625,56.54650115966797,55.587501525878906,56.02949905395508,56.02949905395508,24090000
2019-02-21,80.99250030517578,81.1780014038086,80.04550170898438,80.97200012207031,80.97200012207031,69668000,55.93899917602539,55.95750045776367,54.89899826049805,55.21049880981445,55.21049880981445,33272000
2019-02-22,81.17500305175781,81.74700164794922,81.05850219726562,81.5780029296875,81.5780029296875,61924000,55.48500061035156,55.86249923706055,55.025001525878906,55.827999114990234,55.827999114990234,29436000
2019-02-25,82.07250213623047,82.7300033569336,81.51950073242188,81.6500015258789,81.6500015258789,63690000,56.096500396728516,56.27000045776367,55.705501556396484,55.86650085449219,55.86650085449219,26208000
2019-02-26,81.29900360107422,81.99949645996094,80.80650329589844,81.81999969482422,81.81999969482422,53316000,55.71849822998047,56.321998596191406,55.334999084472656,56.10049819946289,56.10049819946289,35026000
2019-02-27,81.40899658203125,82.09049987792969,80.75499725341797,82.05449676513672,82.05449676513672,62976000,55.70050048828125,56.2864990234375,55.428001403808594,56.144500732421875,56.144500732421875,22092000
2019-02-28,81.76249694824219,82.5885009765625,81.69149780273438,81.99150085449219,81.99150085449219,60518000,55.95000076293945,56.699501037597656,55.920501708984375,56.32749938964844,56.32749938964844,27422000
2019-03-01,82.75650024414062,83.71299743652344,82.55000305175781,83.58650207519531,83.58650207519531,99498000,56.54999923706055,57.5,56.54999923706055,57.42599868774414,57.42599868774414,34086000
2019-03-04,84.25,85.47149658203125,83.71800231933594,84.80850219726562,84.80850219726562,123348000,57.72800064086914,58.2760009765625,56.912498474121094,57.67100143432617,57.67100143432617,35490000
2019-03-05,85.14749908447266,85.38999938964844,84.45050048828125,84.62149810791016,84.62149810791016,73630000,57.79999923706055,58.824501037597656,57.6510009765625,58.45949935913086,58.45949935913086,40094000
2019-03-06,84.79850006103516,84.88749694824219,83.41400146484375,83.44750213623047,83.44750213623047,79920000,58.5880012512207,58.73699951171875,58.15250015258789,58.24700164794922,58.24700164794922,23602000
2019-03-07,83.36849975585938,83.48750305175781,81.02549743652344,81.29750061035156,81.29750061035156,99140000,58.025001525878906,58.17900085449219,57.08549880981445,57.54249954223633,57.54249954223633,30086000
2019-03-08,80.20050048828125,81.13600158691406,79.32849884033203,81.04000091552734,81.04000091552734,93340000,56.69499969482422,57.67250061035156,56.5099983215332,57.49850082397461,57.49850082397461,23694000
2019-03-11,81.30599975585938,83.614501953125,81.30049896240234,83.53099822998047,83.53099822998047,77528000,57.599998474121094,58.99549865722656,57.57849884033203,58.9630012512207,58.9630012512207,30032000
2019-03-12,83.44999694824219,84.2135009765625,83.04900360107422,83.65499877929688,83.65499877929688,72290000,59.1150016784668,60.285499572753906,59.1150016784668,59.86249923706055,59.86249923706055,42220000
2019-03-13,84.1500015258789,85.0,83.96749877929688,84.54049682617188,84.54049682617188,71040000,60.29650115966797,60.35599899291992,59.89550018310547,59.952999114990234,59.952999114990234,25888000
2019-03-14,84.55999755859375,85.0999984741211,84.21700286865234,84.31099700927734,84.31099700927734,58932000,59.95100021362305,60.23500061035156,59.561500549316406,59.62649917602539,59.62649917602539,27302000
