,created_at,text,id,conversation_id,geo
0,2022-09-03T00:00:40.000Z,"#5G network could spell massive difficulties for #weather satellites used for crucial Earth observations: https://t.co/mdNFYBIwMj

#Wx #ExtremeWeather #EmergencyPreparedness #NaturalDisaster #Disaster #Infrastructure #PublicSafety #Tech #EmergingTech https://t.co/ekcgc4EF9F",1565852239612284929,1565852239612284929,
1,2022-09-02T23:41:24.000Z,"Ay caray que calor que hace en Los Angeles, #extremeweather https://t.co/OfQz0bUyCn",1565847388442398720,1565847388442398720,
2,2022-09-02T23:00:11.000Z,"Are you prepared?

Check out our blog post for tips on what you can do before, during and after a blackout to keep your family safe:

https://t.co/4CfXeXj8pp

#ExtremeWeather #BePrepared #BlackOut #PowerOutage https://t.co/V41OwjlICG",1565837017325371392,1565837017325371392,
3,2022-09-02T22:35:54.000Z,"Special Issue on ""Hydrology and Climate Change"" of Water (ISSN 2073-4441), an open Access Journal by MDPI. 
Deadline for manuscript submissions: 31 March 2023. Website -https://t.co/KEberQEC3b
#ClimateCrisis #extremeweather #COP27 #GHG #Hydrology #water #flood #droughts #climate https://t.co/8eBj3PbapG",1565830907772141570,1565830907772141570,
4,2022-09-02T22:26:02.000Z,"Violent #thunderstorm in Mattighofen, #Austria by Florian Sabo from @unwetterfreaks. Taken on June 5, 2022 ⚡ More #storm photos from Florian: https://t.co/WcJjo077dl  

#weather #wetter #gewitter #orages @uwz_at @StormHour @ThePhotoHour @StormHourMark @StormFreaksArt https://t.co/POCV0QSIZs",1565828421439176706,1565828421439176706,
5,2022-09-02T22:15:06.000Z,Have we reached a #climate #tippingpoint ? Why are we carrying on like these #new #extremeweather patterns are one offs???,1565825670785208320,1565825670785208320,
6,2022-09-02T21:25:45.000Z,"His name is Gaston, he is playful, sociable and independent, he experiences #climatechange and the increasing frequency and the intesity of #extremeweather events just like us...but unfortunately he can't do something about it...but we can... https://t.co/LeXuUyEjoC",1565813251765669888,1565813251765669888,
7,2022-09-02T18:47:11.000Z,"#OnThisDay 3 years ago: Amazing positive #lightning over the #Adriatic by Francesco Gennari 🖼️ PRINTS available ➡️ https://t.co/UTdv55CpMd

#otd #italy #lightningstrikes #temporale #orages #storms #weather  #thunderstorm @StormHour @ThePhotoHour @ilmeteoit @Italia https://t.co/NdpStnz93Q",1565773346972876803,1565773346972876803,
8,2022-09-02T18:21:00.000Z,"Canada &amp; other major #emission contributors are accelerating the death spiral of human civilization with #extremeweather. @envirodefence @ExtinctionR @ScientistRebel1 @GreenpeaceCA
https://t.co/EcTm5hgxvU",1565766759277535233,1565766759277535233,
9,2022-09-02T17:32:16.000Z,"I missed that one 

Let's act now ..to save the 1.5C aspirational target 
By releasing 44.000 tons of #Methane in the atmosphere

SO FUN 
No fines , of course .
That's our strategy.

 #ClimateCrisis #climatemergency #ExtremeWeather https://t.co/hd0WgAP65e",1565754494666903552,1565754494666903552,
10,2022-09-02T17:30:51.000Z,#US #CA #Oregon #WA #PNW #disasters #wildfires #fires #firefighters #weather #wx #extremeweather #drought #climate #science #research #Politics #states #FEMA #Congress https://t.co/DQbG5hcDOm,1565754139988328450,1565754139988328450,
11,2022-09-02T17:30:00.000Z,"There has been an abundance of extreme events this year. Is it becoming the new norm?

And will water scarcity be the next global problem?

https://t.co/ByYZgUzPUG 

#waterscarcity #drought #climatechange #globalwarming #extremeweather #water #droughtuk #ClimateEmergency #climate",1565753924417687552,1565753924417687552,
12,2022-09-02T16:49:08.000Z,"Extreme Droughts And Extreme Floods Vs. Climate Change [schematic graphic]
https://t.co/zELIvERkis  
H/T Peter Gleick @PeterGleick
#climatechange #climate #extremeweather #floods #flood #drought #droughts #hydrology #water #extreme #change #schematic #graphic https://t.co/JiNDo8q2RP",1565743640781144066,1565743640781144066,
13,2022-09-02T16:21:00.000Z,"#Shelfcloud in Staré Smrkovice, #Czechia by @FilipP_Wx from @CzechstormskyWX. Taken on August 26, 2022 ⚡ More #storm photos from Filip: https://t.co/35IlDcuB7C 

#clouds #weather #gewitter #orages @StormHour @StormHourMark @ThePhotoHour @StormFreaksArt https://t.co/WbXFpw8jED",1565736560594747393,1565736560594747393,
14,2022-09-02T16:05:00.000Z,"How is #climatechange affecting #aquaculture in Connecticut’s Long Island Sound? 1) increasing temps, 2) changing rain patterns and salinity, 3) ocean acidification, 4) more #extremeweather, and 5) #sealevelrise
https://t.co/fGtA9szerA https://t.co/id5OmkZkSx",1565732532754165762,1565732532754165762,
15,2022-09-02T16:02:20.000Z,"Intensifying droughts, storms, and torrential rain in some of the world's largest economies could cause $5.6 trillion in losses to the #globaleconomy by 2050. Last year's #extremeweather led to global losses of more than $224 billion. #climatechange 
https://t.co/jmmerFOB2X",1565731863200776196,1565731863200776196,
16,2022-09-02T15:33:55.000Z,🌎🥵📈🌡️ #CA #California #Heatwave #ExtremeWeather #DeathValley #USA #ClimateChange #ActOnClimate #ClimateCrisis #ClimateEmergency #ClimateActionNow #TakeAction #FaceTheClimateEmergency https://t.co/kEl9DE6M0I,1565724711035846656,1565724711035846656,
17,2022-09-02T15:17:10.000Z,"For those who thought #hurricanes would never happen in #Europe 

+5C anomaly is enough ..
Question is...what will happen when the MDR will have such anomalies ? or GOM ? 
Absolutely terrifying 
No land use here, zeke 🤪🤪

 #ClimateCrisis #climatemergency #ExtremeWeather https://t.co/8BLnNKidxa",1565720496464953346,1565720496464953346,
