ID,Gender,BAMajor,BAGPA,yrs_work,yrs_python,yrs_R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,GPA
20210001,M,Computer Science,3.60,1,2,1,57.74,59.50,60.41,66.18,81.50,64.50,62.49,74.73,56.02,48.71,57.79,59.58,60.52,43.80,66.42,41.60,39.05,55.85,31.38,23.73,3.30
20210002,F,Information Systems,3.29,4,2,2,80.32,90.01,89.40,94.75,98.53,79.92,85.01,84.79,78.77,10.46,80.42,90.09,89.53,89.78,97.08,63.87,72.27,71.89,62.05,1.09,3.58
20210003,F,Computer Science,3.07,3,3,1,66.13,68.62,71.22,85.22,92.41,86.50,78.07,79.92,86.71,13.51,66.24,68.68,71.28,72.62,85.40,74.82,60.95,63.87,75.19,1.83,3.33
20210004,M,Information Systems,3.37,3,3,1,84.67,72.49,75.94,76.18,85.22,88.58,73.49,81.05,84.79,18.12,84.69,72.60,75.99,58.03,72.62,78.46,54.01,65.69,71.89,3.28,3.52
20210005,F,Electronic Engineering,3.24,2,1,1,61.93,55.70,74.97,82.83,62.78,70.45,68.08,68.08,66.45,44.80,62.10,55.70,75.08,68.61,39.41,49.63,46.35,46.35,44.16,20.07,3.14
20210006,M,Applied Math,3.28,1,0,2,71.09,82.17,72.49,72.49,54.71,56.35,58.88,58.57,59.50,49.45,71.10,82.26,72.62,52.55,29.93,31.75,34.67,34.30,35.40,24.45,3.25
20210007,F,Information Systems,3.37,4,2,2,79.20,81.50,91.02,94.37,80.60,82.17,81.05,83.49,74.24,8.54,79.28,81.64,91.04,89.06,64.96,67.52,65.69,69.71,55.12,0.73,3.50
20210008,F,Business,3.45,0,1,2,75.73,63.07,73.00,54.71,63.07,33.64,61.90,69.93,82.83,55.70,75.86,63.11,73.17,29.93,39.78,11.32,38.32,48.90,68.61,31.02,3.29
20210009,F,Applied Math,3.31,3,1,3,87.58,93.00,80.60,88.58,70.97,81.95,59.81,79.92,63.65,0.00,87.61,93.01,80.79,78.46,50.37,67.16,35.77,63.87,40.51,0.00,3.39
20210010,M,Applied Math,3.44,3,1,2,92.94,83.93,88.99,83.71,70.71,82.61,76.65,68.62,75.94,44.39,93.02,84.01,89.07,70.07,50.00,68.24,58.75,47.09,57.67,19.70,3.53
